name,url
Arrhinoceratops,https://en.wikipedia.org/wiki/Arrhinoceratops
Arrudatitan,https://en.wikipedia.org/wiki/Arrudatitan
Arstanosaurus,https://en.wikipedia.org/wiki/Arstanosaurus
Asfaltovenator,https://en.wikipedia.org/wiki/Asfaltovenator
Asiaceratops,https://en.wikipedia.org/wiki/Asiaceratops
Asiamericana,https://en.wikipedia.org/wiki/Asiamericana
Asiatosaurus,https://en.wikipedia.org/wiki/Asiatosaurus
Asilisaurus,https://en.wikipedia.org/wiki/Asilisaurus
Astrodon,https://en.wikipedia.org/wiki/Astrodon
Astrophocaudia,https://en.wikipedia.org/wiki/Astrophocaudia
Asylosaurus,https://en.wikipedia.org/wiki/Asylosaurus
Atacamatitan,https://en.wikipedia.org/wiki/Atacamatitan
Atlantosaurus,https://en.wikipedia.org/wiki/Atlantosaurus
Atlasaurus,https://en.wikipedia.org/wiki/Atlasaurus
Atlascopcosaurus,https://en.wikipedia.org/wiki/Atlascopcosaurus
Atrociraptor,https://en.wikipedia.org/wiki/Atrociraptor
Atsinganosaurus,https://en.wikipedia.org/wiki/Atsinganosaurus
Aublysodon,https://en.wikipedia.org/wiki/Aublysodon
Aucasaurus,https://en.wikipedia.org/wiki/Aucasaurus
Augustynolophus,https://en.wikipedia.org/wiki/Augustynolophus
Auroraceratops,https://en.wikipedia.org/wiki/Auroraceratops
Aurornis,https://en.wikipedia.org/wiki/Aurornis
Australodocus,https://en.wikipedia.org/wiki/Australodocus
Australotitan,https://en.wikipedia.org/wiki/Australotitan
Australovenator,https://en.wikipedia.org/wiki/Australovenator
Austrocheirus,https://en.wikipedia.org/wiki/Austrocheirus
Austroposeidon,https://en.wikipedia.org/wiki/Austroposeidon
Austroraptor,https://en.wikipedia.org/wiki/Austroraptor
Austrosaurus,https://en.wikipedia.org/wiki/Austrosaurus
Avaceratops,https://en.wikipedia.org/wiki/Avaceratops
Avalonianus,https://en.wikipedia.org/wiki/Avalonianus
Avebrevicauda,https://en.wikipedia.org/wiki/Avebrevicauda
Avemetatarsalia,https://en.wikipedia.org/wiki/Avemetatarsalia
Aviatyrannis,https://en.wikipedia.org/wiki/Aviatyrannis
Avimimus,https://en.wikipedia.org/wiki/Avimimus
Avipes,https://en.wikipedia.org/wiki/Avipes
Avisaurus,https://en.wikipedia.org/wiki/Avisaurus
Azendohsaurus,https://en.wikipedia.org/wiki/Azendohsaurus
Azhdarchoidea,https://en.wikipedia.org/wiki/Azhdarchoidea
Baalsaurus,https://en.wikipedia.org/wiki/Baalsaurus
